,Awards
0,1 win & 1 nomination
1,1 win & 1 nomination
2,N/A
3,4 wins & 9 nominations
4,7 wins & 4 nominations
5,2 wins & 1 nomination
6,2 wins & 1 nomination
7,1 win
8,3 wins & 25 nominations
9,1 nomination
10,3 wins & 24 nominations
11,15 wins & 45 nominations
12,5 nominations
13,Nominated for 1 Oscar. 1 win & 10 nominations total
14,Won 1 Oscar. 32 wins & 191 nominations total
15,Won 1 Oscar. 42 wins & 75 nominations total
16,1 nomination
17,1 win & 6 nominations
18,12 wins & 12 nominations
19,9 wins & 41 nominations
20,1 nomination
21,1 nomination
22,1 win
23,N/A
24,Nominated for 1 Oscar. 32 wins & 84 nominations total
25,22 wins & 26 nominations
26,N/A
27,5 wins & 17 nominations
28,N/A
29,N/A
30,11 wins & 7 nominations
31,10 wins
32,1 nomination
33,5 wins & 10 nominations
34,N/A
